title,description,handle,match_any,type,operator,value
"Dernière Chance","Dernière Chance","derniere-chance","true","PRICE","GREATER_THAN","21"
"Dernière Chance","Dernière Chance","derniere-chance","true","PRICE","LESS_THAN","49"
"Tout à moins de 20€","Tout à moins de 20€","tout-a-moins-de-20","true","PRICE","LESS_THAN","21"
"Offre Flash","Offre Flash","offre-flash","true","PRICE","GREATER_THAN","49"
"Chaises & Tabourets","Chaises & Tabourets","chaises-tabourets","true","TAG","EQUALS","chaise"
"Chaises & Tabourets","Chaises & Tabourets","chaises-tabourets","true","TAG","EQUALS","tabouret"
"Meuble TV","Meuble TV","meuble-tv","true","TAG","EQUALS","Meuble TV"
"Miroirs","Miroirs","miroirs","true","TAG","EQUALS","miroir"
"Vitrines","Vitrines","vitrines","true","TAG","EQUALS","vitrine"
"Canapés & Fauteuils","Canapés & Fauteuils","canapes-fauteuils","true","TAG","EQUALS","canapé"
"Canapés & Fauteuils","Canapés & Fauteuils","canapes-fauteuils","true","TAG","EQUALS","Fauteuil"
"Tables Basses","Tables Basses","tables-basses","true","TAG","EQUALS","Tables Basses"
"Bibliothèque & Étagère","Bibliothèque & Étagère","bibliotheque-etagere","true","TAG","EQUALS","Bibliothèque & Étagère"
"Bibliothèque & Étagère","Bibliothèque & Étagère","bibliotheque-etagere","true","TAG","EQUALS","Bibliothèque"
"Bibliothèque & Étagère","Bibliothèque & Étagère","bibliotheque-etagere","true","TAG","EQUALS","étagère"
"Tables à Manger","Tables à Manger","tables-a-manger","true","TAG","EQUALS","table"
"Bancs","Bancs","bancs","true","TAG","EQUALS","bancs"
"Commodes & Buffets","Commodes & Buffets","commodes-buffets","true","TAG","EQUALS","commode"
"Commodes & Buffets","Commodes & Buffets","commodes-buffets","true","TAG","EQUALS","buffet"
"Meuble à Chaussures","Meuble à Chaussures","meuble-a-chaussures","true","TAG","EQUALS","Meuble à Chaussures"
"Rangement & Organisation","Rangement & Organisation","rangement-organisation","true","TAG","EQUALS","Rangement & Organisation"
